,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8989184601658216,0.5470417070805044,0.11893715731758751,0.19539234366880304,0.8357981638783347
Random Forest,0.7384066328640132,0.25128135037244587,0.775411218894981,0.3795612903225806,0.8340138458526606
XGBoost,0.8995930624768785,0.5796019900497512,0.09827077182623366,0.16804904435629284,0.8384241938246618
